Run,barcode,Batch,seq_name,pathogen,Biofire positive,mapQ,Negative control,test,spiked,MS2_spike,IC_virus_spike,ct_1,ct_2,amplification_control,reverse_transcription_control,chrom,length,meanDepth,meanDepth_trunc5,meanDepth_trunc10,AuG,AuG_trunc5,AuG_trunc10,bases,bases_perc,Cov1,Cov3,Cov5,Cov10,Cov1_perc,Cov3_perc,Cov5_perc,Cov10_perc,sample num reads,total run reads mapped,total run reads inc unmapped,Sample_reads_percent_of_run,Sample_reads_percent_of_refs,Sample_reads_percent_of_type_run,Sample_reads_percent_of_type_sample,median_read_length,median_aligned_length,mean_read_length,mean_aligned_length,Sample_num_reads_200,Sample_num_reads_300,Sample_num_reads_400,orthoreovirus,zika,MS2,murine_respirovirus,orthoreovirus passed,zika passed,MS2 passed,murine_respirovirus passed,total sample bases,total sample reads,total run bases,total run reads,isSpike,PC_PASSES,PCs_passed,pass,gold_standard,condition,FLU_A_POS,TOP_FLU_A,Sample_reads_percent_of_refs_AuG_truc10,OR pass,AND ratio pass,2 reads pass,sample_positive,pathogen_tests,test_type
AD_winter_study_070325,1,1,109 - NC14,Influenza A,0,40,1,CEPHEID,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,310.0,126.0,347.0,1.0,1.0,1.0,1.0,38246813.0,130321.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,0,5,CEPHEID
AD_winter_study_070325,1,1,109 - NC14,Influenza B,0,40,1,CEPHEID,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,310.0,126.0,347.0,1.0,1.0,1.0,1.0,38246813.0,130321.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,0,5,CEPHEID
AD_winter_study_070325,1,1,109 - NC14,RSV,0,40,1,CEPHEID,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,310.0,126.0,347.0,1.0,1.0,1.0,1.0,38246813.0,130321.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,0,5,CEPHEID
AD_winter_study_070325,1,1,109 - NC14,SARS-CoV-2,0,40,1,CEPHEID,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,310.0,126.0,347.0,1.0,1.0,1.0,1.0,38246813.0,130321.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,0,5,CEPHEID
AD_winter_study_070325,1,1,109 - NC14,unmapped,0,40,1,CEPHEID,1,1.0,1.0,0.0,0.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121067.0,0.0,0.0,0.0,0.0,3.526244184552937,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,310.0,126.0,347.0,1.0,1.0,1.0,1.0,38246813.0,130321.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,0,5,CEPHEID
AD_winter_study_070325,10,1,118,Influenza A,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,14.0,43.0,1.0,1.0,1.0,1.0,18651446.0,59457.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,1,5,ALINITY
AD_winter_study_070325,10,1,118,Influenza B,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,14.0,43.0,1.0,1.0,1.0,1.0,18651446.0,59457.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,1,5,ALINITY
AD_winter_study_070325,10,1,118,RSV,1,40,0,ALINITY,1,1.0,1.0,19.68,0.0,0.0,0.0,RSVA_Human_respiratory_syncytial_virus_S2,15190.0,46.9830022527135,4.687214144310192,8.425421530479897,45.30967741935484,4.5202764976958525,8.125345622119816,688254.0,4530.967741935484,14649.0,13828.0,12542.0,10294.0,96.43844634628044,91.03357472021068,82.56747860434497,67.76826859776168,3583.0,89389.0,3522702.0,0.101711697441339,4.008323171754914,14.669996724533249,99.58310172317954,313.0,162.0,346.8364499023165,190.277979346916,1240.0,493.0,184.0,27.0,42.0,14.0,43.0,1.0,1.0,1.0,1.0,18651446.0,59457.0,1194177299.0,3843671.0,0.0,3.0,1,True,1,False,False,False,0.4933110981572234,True,True,True,1,5,ALINITY
AD_winter_study_070325,10,1,118,SARS-CoV-2,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,14.0,43.0,1.0,1.0,1.0,1.0,18651446.0,59457.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,False,1,5,ALINITY
AD_winter_study_070325,10,1,118,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50820.0,0.0,0.0,0.0,0.0,1.4802029410077089,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,14.0,43.0,1.0,1.0,1.0,1.0,18651446.0,59457.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,1,5,ALINITY
