Run,barcode,seq_name,pathogen_reduced,Unnamed: 0,batch,Sample name,chrom,length,pathogen,meanDepth,meanDepth_trunc5,meanDepth_trunc10,AuG,AuG_trunc5,AuG_trunc10,bases,bases_perc,Cov1,Cov3,Cov5,Cov10,Cov1_perc,Cov3_perc,Cov5_perc,Cov10_perc,sample num reads,total run reads mapped,total run reads inc unmapped,Sample_reads_percent_of_run,Sample_reads_percent_of_refs,Sample_reads_percent_of_type_run,Sample_reads_percent_of_type_sample,median_read_length,median_aligned_length,mean_read_length,mean_aligned_length,Sample_num_reads_200,Sample_num_reads_300,Sample_num_reads_400,barcode_y,run,spiked
010524_Expt9_SISPA_Daisy,66,S1P1,orthoreovirus,51.0,010524_Expt9_SISPA_Daisy,66.0,orthoreovirus,23416.0,orthoreovirus,1.0,1.0,1.0,0.0108045780662794,0.0108045780662794,0.0108045780662794,253.0,1.0804578066279469,253.0,,,,1.0804578066279469,,,,2.0,63088.0,995652.0,0.0002008733975324,0.0031701749936596,0.0803212851405622,100.0,319.5,129.5,319.5,129.5,,,,66.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,66,S1P1,zika,53.0,010524_Expt9_SISPA_Daisy,66.0,zika,10952.0,zika,1.05168986083499,1.05168986083499,1.05168986083499,0.0483016800584368,0.0483016800584368,0.0483016800584368,529.0,4.8301680058436816,503.0,,,,4.592768444119796,,,,4.0,63088.0,995652.0,0.0004017467950649,0.0063403499873192,0.0684228532329798,100.0,338.0,137.0,334.0,132.25,,,,66.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,66,S1P1,MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
010524_Expt9_SISPA_Daisy,66,S1P1,murine_respirovirus,50.0,010524_Expt9_SISPA_Daisy,66.0,murine_respirovirus,15362.0,murine_respirovirus,1.0830578512396694,1.0830578512396694,1.0830578512396694,0.1706158052336935,0.1706158052336935,0.1706158052336935,2621.0,17.06158052336935,2420.0,,,,15.753157140997263,,,,19.0,63088.0,995652.0,0.0019082972765584,0.0301166624397666,0.1683054300646647,100.0,331.0,118.0,350.94736842105266,138.73684210526315,1.0,1.0,1.0,66.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,67,S2P1,orthoreovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
010524_Expt9_SISPA_Daisy,67,S2P1,zika,57.0,010524_Expt9_SISPA_Daisy,67.0,zika,10952.0,zika,1.0,1.0,1.0,0.0122352081811541,0.0122352081811541,0.0122352081811541,134.0,1.2235208181154127,134.0,,,,1.2235208181154127,,,,1.0,63088.0,995652.0,0.0001004366987662,0.0015850874968298,0.0171057133082449,100.0,295.0,143.0,295.0,143.0,,,,67.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,67,S2P1,MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
010524_Expt9_SISPA_Daisy,67,S2P1,murine_respirovirus,55.0,010524_Expt9_SISPA_Daisy,67.0,murine_respirovirus,15362.0,murine_respirovirus,1.0,1.0,1.0,0.0103502148157791,0.0103502148157791,0.0103502148157791,159.0,1.0350214815779195,159.0,,,,1.0350214815779195,,,,1.0,63088.0,995652.0,0.0001004366987662,0.0015850874968298,0.0088581805297191,100.0,283.0,159.0,283.0,159.0,,,,67.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,68,S1P2,orthoreovirus,64.0,010524_Expt9_SISPA_Daisy,68.0,orthoreovirus,23416.0,orthoreovirus,3.015244506038408,2.295882003563651,2.839338744803009,1.3008199521694568,0.9904765971984968,1.2249316706525453,30460.0,130.08199521694567,10102.0,3294.0,1872.0,675.0,43.1414417492313,14.067304407242911,7.994533652203621,2.882644345746498,133.0,63088.0,995652.0,0.0133580809359093,0.2108166370783667,5.341365461847389,100.0,348.0,188.0,382.2330827067669,230.1503759398496,59.0,30.0,19.0,68.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,68,S1P2,zika,66.0,010524_Expt9_SISPA_Daisy,68.0,zika,10952.0,zika,7.300344657804038,4.411422944362383,6.490989660265879,6.769083272461651,4.090394448502557,6.018626734842951,74135.0,676.9083272461651,10155.0,9211.0,7398.0,2549.0,92.72279035792548,84.10336011687363,67.54930606281958,23.274287801314827,317.0,63088.0,995652.0,0.0318384335088966,0.5024727364950545,5.42251111871365,100.0,344.0,195.0,382.2712933753943,232.36593059936908,155.0,74.0,33.0,68.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,68,S1P2,MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
010524_Expt9_SISPA_Daisy,68,S1P2,murine_respirovirus,63.0,010524_Expt9_SISPA_Daisy,68.0,murine_respirovirus,15362.0,murine_respirovirus,15.036666666666669,4.669533333333334,8.188333333333333,14.682333029553444,4.559497461268064,7.995378205962766,225550.0,1468.2333029553445,15000.0,13978.0,13141.0,8966.0,97.64353599791694,90.99075641192552,85.54224710324176,58.36479625048822,877.0,63088.0,995652.0,0.0880829848179886,1.3901217347197563,7.768624324563735,100.0,364.0,214.0,409.3306727480046,256.71949828962374,481.0,271.0,137.0,68.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,69,S2P2,orthoreovirus,74.0,010524_Expt9_SISPA_Daisy,69.0,orthoreovirus,23416.0,orthoreovirus,9.588720193740686,3.498556259314456,5.0800577496274215,8.792663136317048,3.2081055688418174,4.658310556884182,205889.0,879.2663136317047,21472.0,14771.0,9398.0,5207.0,91.69798428425008,63.08079945336522,40.1349504612231,22.23693201229928,785.0,63088.0,995652.0,0.0788428085314949,1.2442936850114126,31.52610441767068,100.0,369.0,223.0,405.5108280254777,261.61146496815286,442.0,253.0,129.0,69.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,69,S2P2,zika,76.0,010524_Expt9_SISPA_Daisy,69.0,zika,10952.0,zika,48.30085772888309,4.850456833861645,9.561812418422525,47.3041453615778,4.75036523009496,9.364499634769905,518075.0,4730.414536157779,10726.0,10296.0,10260.0,10033.0,97.936449963477,94.01022644265888,93.68151935719504,91.60883856829804,1907.0,63088.0,995652.0,0.1915327845472113,3.0227618564544763,32.62059527882313,100.0,373.0,229.0,413.5532249606712,270.255899318301,1121.0,644.0,343.0,69.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,69,S2P2,MS2,71.0,010524_Expt9_SISPA_Daisy,69.0,MS2,3569.0,MS2,1.0,1.0,1.0,0.0871392546931913,0.0871392546931913,0.0871392546931913,311.0,8.713925469319136,311.0,,,,8.713925469319136,,,,1.0,63088.0,995652.0,0.0001004366987662,0.0015850874968298,100.0,100.0,460.0,319.0,460.0,319.0,1.0,1.0,,69.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,69,S2P2,murine_respirovirus,73.0,010524_Expt9_SISPA_Daisy,69.0,murine_respirovirus,15362.0,murine_respirovirus,49.17430116635173,4.978367107578029,9.88760018244608,49.12628563989064,4.973506053899232,9.877945580002605,754678.0,4912.628563989064,15347.0,15284.0,15217.0,14939.0,99.90235646400208,99.49225361281084,99.05611248535348,97.24645228485876,2827.0,63088.0,995652.0,0.283934547412148,4.481042353537915,25.04207635751617,100.0,367.0,225.0,409.4605588963566,266.3682348779625,1613.0,916.0,495.0,69.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,70,S1P3,orthoreovirus,80.0,010524_Expt9_SISPA_Daisy,70.0,orthoreovirus,23416.0,orthoreovirus,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.0396310215237444,0.0396310215237444,0.0396310215237444,928.0,3.9631021523744447,522.0,90.0,,,2.2292449607106253,0.3843525794328664,,,6.0,63088.0,995652.0,0.0006026201925974,0.0095105249809789,0.2409638554216867,100.0,259.5,133.5,285.5,154.66666666666666,2.0,,,70.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,70,S1P3,zika,82.0,010524_Expt9_SISPA_Daisy,70.0,zika,10952.0,zika,1.0509404388714734,1.0509404388714734,1.0509404388714734,0.1224433893352812,0.1224433893352812,0.1224433893352812,1341.0,12.244338933528123,1276.0,,,,11.650840029218408,,,,8.0,63088.0,995652.0,0.0008034935901298,0.0126806999746385,0.1368457064659596,100.0,295.0,164.0,392.875,168.125,2.0,,,70.0,010524_Expt9_SISPA_Daisy,1
010524_Expt9_SISPA_Daisy,70,S1P3,MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
010524_Expt9_SISPA_Daisy,70,S1P3,murine_respirovirus,79.0,010524_Expt9_SISPA_Daisy,70.0,murine_respirovirus,15362.0,murine_respirovirus,1.0,1.0,1.0,0.0821507616195807,0.0821507616195807,0.0821507616195807,1262.0,8.215076161958077,1262.0,,,,8.215076161958077,,,,6.0,63088.0,995652.0,0.0006026201925974,0.0095105249809789,0.0531490831783151,100.0,384.5,255.5,339.0,211.0,4.0,,,70.0,010524_Expt9_SISPA_Daisy,1
