fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,Sample_num_reads_200
0.0,0.3283582089552239,1.0,0.3283582089552239,1.0,0.0,0.32835820895522394,Sample_num_reads_200
0.0,0.3582089552238806,0.9999999999805573,0.3582089552238806,1.0,0.0,0.3582089552238805,Sample_num_reads_200
0.0,0.3880597014925373,0.9999999997959268,0.3880597014925373,1.0,0.0,0.3880597014925373,Sample_num_reads_200
0.0,0.417910447761194,0.9999975231570758,0.417910447761194,1.0,0.0,0.4179104477611939,Sample_num_reads_200
0.0,0.44776119402985076,0.9999740033939276,0.44776119402985076,1.0,0.0,0.4477611940298507,Sample_num_reads_200
0.0,0.4626865671641791,0.9997272040890113,0.4626865671641791,1.0,0.0,0.4626865671641791,Sample_num_reads_200
0.0,0.4925373134328358,0.9971441021232552,0.4925373134328358,1.0,0.0,0.4925373134328357,Sample_num_reads_200
0.0,0.5074626865671642,0.9708156568543485,0.5074626865671642,1.0,0.0,0.5074626865671643,Sample_num_reads_200
0.0010193679918450561,0.5671641791044776,0.760149525274678,0.5671641791044776,0.9989806320081549,0.0010193679918450561,0.5661448111126326,Sample_num_reads_200
0.0030581039755351682,0.6119402985074627,0.23191930191644855,0.6119402985074627,0.9969418960244648,0.0030581039755351682,0.6088821945319274,Sample_num_reads_200
1.0,1.0,0.027963042239202176,1.0,0.0,1.0,0.0,Sample_num_reads_200
